model,decoder,task_id,category,schema_valid,content_accuracy_corrected,content_accuracy_original
Qwen-4B,outlines,json_nested_address,json_generation,True,1.0,1.0
Qwen-4B,outlines,json_array_orders,json_generation,True,1.0,1.0
Qwen-4B,outlines,json_complex_api,json_generation,True,1.0,1.0
Qwen-4B,outlines,schema_weather,schema_adherence,True,1.0,1.0
Qwen-4B,outlines,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-4B,outlines,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-4B,outlines,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-4B,outlines,funcall_search_multi,function_calling,True,1.0,1.0
Qwen-4B,outlines,funcall_database_query,function_calling,True,1.0,1.0
Qwen-4B,outlines,extract_business_card,extraction,True,1.0,0.9
Qwen-4B,outlines,extract_receipt,extraction,True,0.99,0.99
Qwen-4B,outlines,extract_api_log,extraction,True,1.0,1.0
Qwen-4B,xgrammar,json_simple_person,json_generation,True,1.0,1.0
Qwen-4B,xgrammar,json_simple_product,json_generation,True,1.0,1.0
Qwen-4B,xgrammar,json_nested_address,json_generation,True,1.0,1.0
Qwen-4B,xgrammar,json_array_orders,json_generation,True,1.0,1.0
Qwen-4B,xgrammar,json_complex_api,json_generation,True,1.0,1.0
Qwen-4B,xgrammar,schema_weather,schema_adherence,True,1.0,1.0
Qwen-4B,xgrammar,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-4B,xgrammar,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-4B,xgrammar,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-4B,xgrammar,funcall_search_multi,function_calling,True,1.0,1.0
Qwen-4B,xgrammar,funcall_database_query,function_calling,True,1.0,1.0
Qwen-4B,xgrammar,extract_business_card,extraction,True,1.0,0.9
Qwen-4B,xgrammar,extract_receipt,extraction,True,1.0,1.0
Qwen-4B,xgrammar,extract_api_log,extraction,True,1.0,1.0
Phi-4-mini,native,json_simple_person,json_generation,True,1.0,1.0
Phi-4-mini,native,json_simple_product,json_generation,True,1.0,1.0
Phi-4-mini,native,json_nested_address,json_generation,True,1.0,1.0
Phi-4-mini,native,json_array_orders,json_generation,True,1.0,1.0
Phi-4-mini,native,json_complex_api,json_generation,True,1.0,1.0
Phi-4-mini,native,schema_weather,schema_adherence,True,1.0,1.0
Phi-4-mini,native,schema_database_record,schema_adherence,True,1.0,1.0
Phi-4-mini,native,schema_config_file,schema_adherence,True,1.0,1.0
Phi-4-mini,native,funcall_get_weather,function_calling,True,1.0,1.0
Phi-4-mini,native,funcall_search_multi,function_calling,True,1.0,1.0
Phi-4-mini,native,funcall_database_query,function_calling,True,1.0,1.0
Phi-4-mini,native,extract_business_card,extraction,True,1.0,0.9
Phi-4-mini,native,extract_receipt,extraction,False,0.0,0.417
Phi-4-mini,native,extract_api_log,extraction,True,1.0,1.0
Phi-4-mini,outlines,json_simple_person,json_generation,True,1.0,1.0
Phi-4-mini,outlines,json_simple_product,json_generation,True,1.0,1.0
Phi-4-mini,outlines,json_nested_address,json_generation,True,1.0,1.0
Phi-4-mini,outlines,json_array_orders,json_generation,True,1.0,1.0
Phi-4-mini,outlines,json_complex_api,json_generation,True,1.0,1.0
Phi-4-mini,outlines,schema_weather,schema_adherence,True,1.0,1.0
Phi-4-mini,outlines,schema_database_record,schema_adherence,True,1.0,1.0
Phi-4-mini,outlines,schema_config_file,schema_adherence,True,1.0,1.0
Phi-4-mini,outlines,funcall_get_weather,function_calling,True,1.0,1.0
Phi-4-mini,outlines,funcall_search_multi,function_calling,True,1.0,1.0
Phi-4-mini,outlines,funcall_database_query,function_calling,True,1.0,1.0
Phi-4-mini,outlines,extract_business_card,extraction,True,1.0,0.9
Phi-4-mini,outlines,extract_receipt,extraction,True,0.99,0.99
Phi-4-mini,outlines,extract_api_log,extraction,True,1.0,1.0
Phi-4-mini,xgrammar,json_simple_person,json_generation,True,1.0,1.0
Phi-4-mini,xgrammar,json_simple_product,json_generation,True,1.0,1.0
Phi-4-mini,xgrammar,json_nested_address,json_generation,True,1.0,1.0
Phi-4-mini,xgrammar,json_array_orders,json_generation,True,1.0,1.0
Phi-4-mini,xgrammar,json_complex_api,json_generation,True,1.0,1.0
Phi-4-mini,xgrammar,schema_weather,schema_adherence,True,1.0,1.0
Phi-4-mini,xgrammar,schema_database_record,schema_adherence,True,1.0,1.0
Phi-4-mini,xgrammar,schema_config_file,schema_adherence,True,1.0,1.0
Phi-4-mini,xgrammar,funcall_get_weather,function_calling,True,1.0,1.0
Phi-4-mini,xgrammar,funcall_search_multi,function_calling,True,1.0,1.0
Phi-4-mini,xgrammar,funcall_database_query,function_calling,True,1.0,1.0
Phi-4-mini,xgrammar,extract_business_card,extraction,True,1.0,0.9
Phi-4-mini,xgrammar,extract_receipt,extraction,True,1.0,1.0
Phi-4-mini,xgrammar,extract_api_log,extraction,True,1.0,1.0
